ticker,calidad,crecimiento,valoracion,solidez,compuesto,exclusion,sector_gics,kpis_con_dato
IVZ,-0.6726960473893135,-0.19122558458354932,0.6090938563246523,0.3837954528506571,0.8618529129334875,,Financials,10
J,-0.618726500667052,-0.005348435901344151,0.06186612342702584,0.5308949165747726,-0.06883516988174128,,Industrials,16
JBHT,-0.43614063643336065,0.13525891979386104,0.2625226816489333,-0.4625613945302731,-0.4241170371480486,,Industrials,12
JBL,-0.7593992838519072,-0.04675514456996549,0.15950233106368344,-0.31616972146592215,-0.7055513134759751,,Information Technology,16
JCI,0.025234306287900132,0.34317288406187024,0.2108816596079167,-0.5286963340969018,-0.006868691338052815,,Industrials,9
JKHY,-0.18781597506182138,-0.0022372373310896956,-0.6429471737817399,0.7175411559843682,0.5229134678180193,,Financials,13
JNJ,0.20834863723990993,-0.041161664882710634,-0.02865709779120017,-0.7499518417451028,-0.611757724785532,,Health Care,13
KDP,0.10056879739522209,0.4496255385904277,0.01246018463090963,-0.747341084041878,-0.24171653696304077,,Consumer Staples,16
KEYS,-0.07844075266827087,-0.21441199752121465,0.08124766856852195,0.5538058643119391,0.20003989556088714,,Information Technology,16
KHC,-0.4335895607915086,-0.245227096524085,0.7585167459675899,0.11873763514801365,0.0789433287901859,,Consumer Staples,17
KIM,-0.012653579277913976,-0.3071673546771622,0.6682845506389838,-0.4358682329777612,-0.06592540399574334,,Real Estate,11
KLAC,0.284029177668774,-0.1805436792744609,0.3875207480186222,0.7886793794602072,0.8505865080145236,,Information Technology,13
KMB,0.232379733014709,-0.05472693284658827,0.16164050072714442,-0.21989251017770783,0.012792543792156328,,Consumer Staples,17
KMI,-0.15931453138203214,-0.12406970358607065,-0.26388558888799396,-1.0643043162745587,-1.0531835612580243,,Energy,15
